name,human_eq_type,location,serving,status,date,status2,date2,time_spent,nyca_id
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,0 days 02:59:58.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,0 days 02:59:58.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,0 days 02:59:58.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,0 days 02:59:58.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,0 days 08:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,0 days 08:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,0 days 08:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,0 days 08:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,0 days 01:10:16.000000000,133
