name,human_eq_type,location,serving,status,date,status2,date2,time_spent_min,nyca_id,number_of_elevators
161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-03-31 13:28:57,FIXED,2017-03-31 15:58:32,149,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 09:18:41,179,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-15 18:28:13,FIXED,2017-03-15 22:28:16,240,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-16 19:28:58,FIXED,2017-03-16 22:58:14,209,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-17 15:58:20,FIXED,2017-03-18 00:58:29,540,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-18 17:18:50,FIXED,2017-03-18 20:28:27,189,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-20 03:08:42,FIXED,2017-03-20 04:38:24,89,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-20 18:28:49,FIXED,2017-03-20 22:28:47,239,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-21 14:38:58,FIXED,2017-03-21 21:08:58,390,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-22 15:10:06,,,600,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-23 16:58:42,FIXED,2017-03-23 23:48:22,409,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-24 16:08:27,FIXED,2017-03-25 09:28:43,600,291,5
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-26 11:38:18,FIXED,2017-03-27 17:28:52,350,291,5
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-03-19 11:18:40,FIXED,2017-03-19 14:08:59,170,291,5
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-03-26 21:28:39,FIXED,2017-03-27 01:28:34,239,291,5
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 19:58:27,600,291,5
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-04-05 11:38:29,FIXED,2017-04-07 08:48:38,600,291,5
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,170,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,170,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,170,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,170,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:44,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:44,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:44,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:44,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 03:58:39,FIXED,2017-03-17 08:58:25,299,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 03:58:39,FIXED,2017-03-17 08:58:25,299,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 03:58:39,FIXED,2017-03-17 08:58:25,299,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 03:58:39,FIXED,2017-03-17 08:58:25,299,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-19 21:08:58,FIXED,2017-03-20 09:18:32,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-19 21:08:58,FIXED,2017-03-20 09:18:32,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-19 21:08:58,FIXED,2017-03-20 09:18:32,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-19 21:08:58,FIXED,2017-03-20 09:18:32,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 05:28:51,120,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 05:28:51,120,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 05:28:51,120,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 05:28:51,120,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 03:58:23,FIXED,2017-03-22 09:08:58,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 03:58:23,FIXED,2017-03-22 09:08:58,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 03:58:23,FIXED,2017-03-22 09:08:58,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 03:58:23,FIXED,2017-03-22 09:08:58,310,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 04:18:47,FIXED,2017-03-23 07:18:26,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 04:18:47,FIXED,2017-03-23 07:18:26,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 04:18:47,FIXED,2017-03-23 07:18:26,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 04:18:47,FIXED,2017-03-23 07:18:26,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,179,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,530,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,530,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,530,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,530,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,70,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,70,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,70,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,70,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,50,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,50,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,50,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,50,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-02 09:28:45,FIXED,2017-04-02 10:58:25,89,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-02 09:28:45,FIXED,2017-04-02 10:58:25,89,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-02 09:28:45,FIXED,2017-04-02 10:58:25,89,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-02 09:28:45,FIXED,2017-04-02 10:58:25,89,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-03 03:48:27,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-03 03:48:27,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-03 03:48:27,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-03 03:48:27,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 03:48:38,FIXED,2017-04-04 17:38:52,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 03:48:38,FIXED,2017-04-04 17:38:52,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 03:48:38,FIXED,2017-04-04 17:38:52,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 03:48:38,FIXED,2017-04-04 17:38:52,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 20:38:59,FIXED,2017-04-05 09:09:03,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 20:38:59,FIXED,2017-04-05 09:09:03,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 20:38:59,FIXED,2017-04-05 09:09:03,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-04 20:38:59,FIXED,2017-04-05 09:09:03,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-07 01:58:42,FIXED,2017-04-07 04:58:43,180,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-07 01:58:42,FIXED,2017-04-07 04:58:43,180,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-07 01:58:42,FIXED,2017-04-07 04:58:43,180,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-07 01:58:42,FIXED,2017-04-07 04:58:43,180,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-08 12:28:28,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-08 12:28:28,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-08 12:28:28,,,600,133,7
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-08 12:28:28,,,600,133,7
168th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-04-07 03:38:36,,,600,133,7
168th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-04-08 03:09:19,FIXED,2017-04-08 09:18:55,369,133,7
168th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-27 03:48:43,FIXED,2017-03-27 09:18:39,329,133,7
168th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:18:27,319,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-23 06:28:17,FIXED,2017-03-23 09:28:43,180,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-29 21:58:32,FIXED,2017-03-29 22:58:40,60,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:38:26,339,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-30 13:18:37,FIXED,2017-03-30 14:58:46,100,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-01 00:38:41,FIXED,2017-04-01 07:28:47,410,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-04 02:28:22,FIXED,2017-04-04 17:09:14,600,133,7
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-06 14:08:54,FIXED,2017-04-06 15:38:19,89,133,7
