nyca_id,name,number_of_elevators,location,serving
305,Queens Plz,3,,Mezzanine To Uptown
305,Queens Plz,3,,Mezzanine To Downtown
315,Bay Pky,3,NW corner of Bay Parkway and 86th Street,Street To Mezzanine
315,Bay Pky,3,,Mezzanine To Uptown
315,Bay Pky,3,,Mezzanine To Downtown
331,Kings Hwy,2,Kings Highway between 15th and 16th Streets (Inside station house),Street To Uptown Platform
331,Kings Hwy,2,Kings Highway between 15th and 16th Streets (Inside station house),Street To Downtown Platform
347,21st St - Queensbridge,3,NW corner of 21st Street and 41st Avenue,Street To Mezzanine
347,21st St - Queensbridge,3,,Mezzanine To Uptown
347,21st St - Queensbridge,3,,Mezzanine To Downtown
347,21st St - Queensbridge,3,,Southbound Platform To Mezzanine
347,21st St - Queensbridge,3,,Mezzanine To Street
347,21st St - Queensbridge,3,,Mezzanine To Street
347,21st St - Queensbridge,3,,Southbound Platform To Mezzanine
347,21st St - Queensbridge,3,,Northbound Platform To Mezzanine
347,21st St - Queensbridge,3,,Northbound Platform To Mezzanine
348,50th St,0,,Street To Mezzanine
348,50th St,0,,Mezzanine To E Train Platform
350,47th-50th Sts - Rockefeller Ctr,3,NW corner of 6th Avenue and 49 Street,Street To Mezzanine
350,47th-50th Sts - Rockefeller Ctr,3,,Mezzanine To Downtown
350,47th-50th Sts - Rockefeller Ctr,3,,Mezzanine To Uptown
352,Lexington Ave - 63rd St,2,,Street To Mezzanine
352,Lexington Ave - 63rd St,2,,Mezzanine To Downtown And Downtown To Uptown Platform
352,Lexington Ave - 63rd St,2,,Mezzanine To Street
352,Lexington Ave - 63rd St,2,,Level 3 To Level 2
352,Lexington Ave - 63rd St,2,,Southbound Platform To Level 3
352,Lexington Ave - 63rd St,2,,Level 2 To Mezzanine
352,Lexington Ave - 63rd St,2,,Level 2 To Mezzanine
352,Lexington Ave - 63rd St,2,,Level 3 To Level 2
352,Lexington Ave - 63rd St,2,,Northbound Platform To Upper Platform
352,Lexington Ave - 63rd St,2,,Mezzanine To Street
352,Lexington Ave - 63rd St,2,,Southbound Platform To Level 3
352,Lexington Ave - 63rd St,2,,Northbound Platform To Upper Platform
353,Roosevelt Island,2,,Street To Downtown Platform
353,Roosevelt Island,2,,Street To Uptown Platform
353,Roosevelt Island,2,,Southbound Platform To Lower Mezzanine
353,Roosevelt Island,2,,Northbound Platform To Lower Mezzanine
353,Roosevelt Island,2,,Center Mezzanine To Street
353,Roosevelt Island,2,,Upper Mezzanine To Street
353,Roosevelt Island,2,,Northbound Platform To Lower Mezzanine
353,Roosevelt Island,2,,Lower Mezzanine To Upper Mezzanine
353,Roosevelt Island,2,,Center Mezzanine To Upper Mezzanine
353,Roosevelt Island,2,,Lower Mezzanine To Upper Mezzanine
353,Roosevelt Island,2,,Southbound Platform To Lower Mezzanine
353,Roosevelt Island,2,,Upper Mezzanine To Street
354,59th St - Columbus Circle,5,Southwest corner of 8th Av and Columbus Circle,Street To Mezzanine All Trains
354,59th St - Columbus Circle,5,Northwest corner of Columbus Circle and Central Park West,Street To Mezzanine And Uptown 1 Platform
354,59th St - Columbus Circle,5,,Mezzanine And Downtown
354,59th St - Columbus Circle,5,,Mezzanine And Uptown
354,59th St - Columbus Circle,5,,Mezzanine And Uptown
354,59th St - Columbus Circle,5,,3 Landings
354,59th St - Columbus Circle,5,,Street To Mezzanine All Trains
354,59th St - Columbus Circle,5,,Street To Mezzanine All Trains
359,34th St - Penn Station,3,,Mezzanine To Downtown Local Platform
359,34th St - Penn Station,3,,Mezzanine To Express Platform
359,34th St - Penn Station,3,,Mezzanine To Uptown Local Platform
360,Times Sq - 42nd St,4,,Mezzanine To Uptown
360,Times Sq - 42nd St,4,,Mezzanine To Downtown
360,Times Sq - 42nd St,4,,Mezzanine To Downtown Platform & 7 Platform
360,Times Sq - 42nd St,4,,"Mezzanine And Uptown 1,2,3 Trains Platform"
360,Times Sq - 42nd St,4,,Center Island Platform To Mezzanine (41 St / 7 Ave)
360,Times Sq - 42nd St,4,,Center Island Platform To Mezzanine (41 St / Bway)
360,Times Sq - 42nd St,4,,Center Island Platform To Mezzanine (41 St / 7 Ave)
360,Times Sq - 42nd St,4,,Street To Mezzanine All Trains
360,Times Sq - 42nd St,4,,Street To Mezzanine All Trains
360,Times Sq - 42nd St,4,,Street To Mezzanine All Trains
