"station","borough","equipmenttype","serving","ADA","line"
"Atlantic Av-Barclays Ctr","BKN","EL","STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND","Y","2"
"Atlantic Av-Barclays Ctr","BKN","EL","STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND","Y","2"
"Atlantic Av-Barclays Ctr","BKN","EL","STREET TO MEZZANINE","Y","2"
"Atlantic Av-Barclays Ctr","BKN","EL","STREET TO MEZZANINE","Y","D"
"Atlantic Av-Barclays Ctr","BKN","ES","STREET TO MEZZANINE","N","2"
"Atlantic Av-Barclays Ctr","BKN","EL","UPTOWN 2, 3 PLATFORM TO MEZZANINE","Y","2"
"Bay Parkway","BKN","EL","MEZZANINE TO DOWNTOWN","Y","D"
"Bay Parkway","BKN","EL","MEZZANINE TO UPTOWN","Y","D"
"Bay Parkway","BKN","EL","STREET TO MEZZANINE","Y","D"
"Borough Hall","BKN","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y","2"
"Borough Hall","BKN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","2"
"Borough Hall","BKN","EL","STREET TO MEZZANINE","Y","2"
"Bowery","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","J"
"Bowling Green","MN","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","4"
"Bowling Green","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","4"
"Bowling Green","MN","EL","MEZZANINE TO DOWNTOWN","Y","4"
"Bowling Green","MN","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y","4"
