"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"34 St - Penn","MN","A/C/E","EL226","EL","UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE","Y"
NA,"42 St - Bryant Park","MN","B/D/F/M","EL237X","EL","LOWER MEZZANINE TO NORTHBOUND PLATFORM","Y"
NA,"42 St - Bryant Park","MN","B/D/F/M","EL295X","EL","NW Corner of 39th & 6th","N"
NA,"42 St - Bryant Park","MN","B/D/F/M","EL287X","EL","STREET TO MEZZANINE","N"
NA,"42 St - Bryant Park","MN","B/D/F/M","EL294X","EL","SW Corner of 42nd & 6th","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES207","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES209","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES203","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES204","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES206","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES205","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES210","ES","LOWER MEZZANINE TO UPPER MEZZANINE (WEST END)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES208","ES","LOWER MEZZANINE TO UPPER MEZZANINE (WEST END)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","EL244","EL","MEZZANINE TO 7 PLATFORM","Y"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","EL205","EL","MEZZANINE TO DOWNTOWN 4,5,6 PLATFORM","Y"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","EL206","EL","MEZZANINE TO UPTOWN 4,5,6 PLATFORM","Y"
