"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"34 St - 11 Av","MN","7","ES624","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"34 St - 11 Av","MN","7","ES621","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"34 St - 11 Av","MN","7","ES625","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"34 St - 11 Av","MN","7","ES622","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"34 St - 11 Av","MN","7","EL600","EL","PLATFORM TO LOWER MEZZANINE","Y"
"34 St - 11 Av","MN","7","ES627","ES","UPPER MEZZANINE TO STREET","N"
"34 St - 11 Av","MN","7","ES626","ES","UPPER MEZZANINE TO STREET","N"
"34 St - 11 Av","MN","7","ES629","ES","UPPER MEZZANINE TO STREET","N"
"34 St - 11 Av","MN","7","ES628","ES","UPPER MEZZANINE TO STREET","N"
"34 St - 11 Av","MN","7","EL603","EL","UPPER MEZZANINE TO STREET","Y"
"34 St - Penn Station","MN","1/2/3/LIRR","EL216","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y"
"34 St - Penn Station","MN","A/C/E","EL228","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y"
"34 St - Penn Station","MN","A/C/E","EL227","EL","MEZZANINE TO EXPRESS PLATFORM","Y"
"34 St - Penn Station","MN","1/2/3/LIRR","EL215","EL","MEZZANINE TO EXPRESS PLATFORM","Y"
"34 St - Penn Station","MN","1/2/3/LIRR","EL214","EL","MEZZANINE TO UPTOWN LOCAL PLATFORM","Y"
"34 St - Penn Station","MN","A/C/E","EL225","EL","STREET TO UPTOWN LOCAL PLATFORM","Y"
"34 St - Penn Station","MN","A/C/E","EL226","EL","UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE","Y"
"42 St - Bryant Pk","MN","B/D/F/M","EL237X","EL","LOWER MEZZANINE TO NORTHBOUND PLATFORM","Y"
"42 St - Bryant Pk","MN","B/D/F/M","EL295X","EL","NW Corner of 39th & 6th","N"
"42 St - Bryant Pk","MN","B/D/F/M","EL287X","EL","STREET TO MEZZANINE","N"
"42 St - Bryant Pk","MN","B/D/F/M","EL294X","EL","SW Corner of 42nd & 6th","N"
