,tweet_id,date_time,text,date,station,equipment,area,outage
3015,8.42025e+17,3/15/17 14:48,FIXED: An escalator @ Jay St - Metrotech servicing Lower Mezzanine To Platform is in service,2017-03-15,,escalator,mezzanine to platform,False
3016,8.42025e+17,3/15/17 14:48,FIXED: An escalator @ Herald Sq - 34th St servicing Mall Landing To Street is in service,2017-03-15,,escalator,,False
3017,8.4202e+17,3/15/17 14:28,FIXED: An escalator @ W 8th St - NY Aquarium servicing Mezzanine To Northbound Ul Platform is in service,2017-03-15,,escalator,,False
3018,8.4202e+17,3/15/17 14:28,OUTAGE: An elevator servicing Street To Mezzanine &amp; Uptown Platform @ 231st St (SE corner of 231 Street and Broadway) is out of service.,2017-03-15,231 St,elevator,street to mezzanine,True
3019,8.42017e+17,3/15/17 14:18,OUTAGE: An escalator servicing Lower Mezzanine To Platform @ Jay St - Metrotech is out of service.,2017-03-15,,escalator,mezzanine to platform,True
3020,8.42005e+17,3/15/17 13:28,FIXED: An escalator @ Broadway Junction servicing Street To Upper Mezzanine is in service,2017-03-15,Broadway Junction,escalator,,False
3021,8.42005e+17,3/15/17 13:28,OUTAGE: An elevator servicing Street To Mezzanine @ Flushing Ave (SW corner of Flushing Avenue and Broadway) is out of service.,2017-03-15,Flushing Av,elevator,street to mezzanine,True
3022,8.42005e+17,3/15/17 13:28,OUTAGE: An elevator servicing Street To Mezzanine @ 125th St (SW corner of 125 Street and Saint Nicholas Avenue) is out of service.,2017-03-15,125 St,elevator,street to mezzanine,True
3023,8.42e+17,3/15/17 13:08,FIXED: An elevator @ 125th St servicing Mezzanine And Downtown is in service,2017-03-15,,elevator,,False
3024,8.41994e+17,3/15/17 12:48,OUTAGE: An escalator servicing Street To Upper Mezzanine @ Broadway Junction is out of service.,2017-03-15,Broadway Junction,escalator,,True
3025,8.41992e+17,3/15/17 12:38,OUTAGE: An elevator servicing Street To Mezzanine &amp;Platforms @ Flushing - Main St (Roosevelt Avenue east of Main Street) is out of service.,2017-03-15,,elevator,street to mezzanine,True
3026,8.41989e+17,3/15/17 12:28,FIXED: An escalator @ Herald Sq - 34th St servicing Northbound Platform To Mezzanine is in service,2017-03-15,,escalator,,False
3027,8.41989e+17,3/15/17 12:28,OUTAGE: An elevator servicing Street To Mezzanine / Mezzanine To Platform @ 191st St is out of service.,2017-03-15,,elevator,street to mezzanine,True
3028,8.41989e+17,3/15/17 12:28,OUTAGE: An elevator servicing Lower Mezzanine To Street @ 190th St is out of service.,2017-03-15,,elevator,,True
3029,8.41987e+17,3/15/17 12:18,OUTAGE: An elevator servicing Mezzanine And Downtown @ 125th St is out of service.,2017-03-15,,elevator,,True
3030,8.41984e+17,3/15/17 12:08,OUTAGE: An escalator servicing Lower Mezzanine To Upper Mezzanine @ High St is out of service.,2017-03-15,High St,escalator,,True
3031,8.41984e+17,3/15/17 12:08,OUTAGE: An elevator servicing Street To Mezzanine @ Bay Pky (NW corner of Bay Parkway and 86th Street) is out of service.,2017-03-15,Bay Parkway,elevator,street to mezzanine,True
3032,8.41982e+17,3/15/17 11:58,OUTAGE: An elevator servicing Mezzanine To Platform @ Utica Ave is out of service.,2017-03-15,Utica Av,elevator,mezzanine to platform,True
3033,8.41979e+17,3/15/17 11:48,FIXED: An escalator @  servicing Mezzanine To Mid Landing Entrance #1 is in service,2017-03-15,,escalator,,False
3034,8.41979e+17,3/15/17 11:48,OUTAGE: An escalator servicing Mezzanine To Northbound Ul Platform @ W 8th St - NY Aquarium is out of service.,2017-03-15,,escalator,,True
3035,8.41977e+17,3/15/17 11:38,OUTAGE: An escalator servicing Mezzanine To Mid Landing Entrance #1 @  is out of service.,2017-03-15,,escalator,,True
3036,8.41977e+17,3/15/17 11:38,That elevator services Street To Downtown Platform,2017-03-15,,elevator,,False
3037,8.41977e+17,3/15/17 11:38,OUTAGE: An elevator @ 72nd St (North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house)) is out of service.,2017-03-15,,elevator,,True
3038,8.41977e+17,3/15/17 11:38,OUTAGE: An escalator servicing Northbound Platform To Mezzanine @ Herald Sq - 34th St is out of service.,2017-03-15,,escalator,,True
3039,8.41974e+17,3/15/17 11:28,OUTAGE: An escalator servicing Street To Mezzanine @ Brighton Beach is out of service.,2017-03-15,Brighton Beach,escalator,street to mezzanine,True
3040,8.41974e+17,3/15/17 11:28,"OUTAGE: An elevator servicing Mezzanine To Downtown 4,5,6 Platform @ Grand Central - 42nd St is out of service.",2017-03-15,,elevator,mezzanine to downtown,True
3041,8.41972e+17,3/15/17 11:18,FIXED: An escalator @ Bowling Green servicing Lower Mezzanine To Southbound Platform is in service,2017-03-15,Bowling Green,escalator,,False
3042,8.41972e+17,3/15/17 11:18,That elevator services Street To Mezzanine And Downtown Platform,2017-03-15,,elevator,street to mezzanine,False
3043,8.41972e+17,3/15/17 11:18,OUTAGE: An elevator @ Simpson St (NW corner of Simpson Street and Westchester Avenue) is out of service.,2017-03-15,Simpson St,elevator,,True
3044,8.41972e+17,3/15/17 11:18,OUTAGE: An elevator servicing Street To Mezzanine @ Queens Plz (Corner of Queens Plaza South and Jackson Avenue) is out of service.,2017-03-15,Queens Plaza,elevator,street to mezzanine,True
3045,8.41972e+17,3/15/17 11:18,That elevator services Street To Mezzanine &amp; Uptown Platform,2017-03-15,,elevator,street to mezzanine,False
3046,8.41972e+17,3/15/17 11:18,OUTAGE: An elevator @ Gun Hill Rd (Inside main entrance on White Plains Road between Gun Hill Road and 211 Street) is out of service.,2017-03-15,Gun Hill Rd,elevator,,True
3047,8.41969e+17,3/15/17 11:08,OUTAGE: An elevator servicing Mezzanine To Street @ 57th St - 7 Av is out of service.,2017-03-15,7 Av,elevator,,True
3048,8.41969e+17,3/15/17 11:08,OUTAGE: An escalator servicing Lower Mezzanine To Street (3rd Ave) @ Grand Central - 42nd St is out of service.,2017-03-15,,escalator,,True
3049,8.41969e+17,3/15/17 11:08,OUTAGE: An escalator servicing Mall Landing To Street @ Herald Sq - 34th St is out of service.,2017-03-15,,escalator,,True
3050,8.41964e+17,3/15/17 10:48,FIXED: An elevator @ 168th St servicing Lower Mezzanine To Upper Mezzanine is in service,2017-03-15,,elevator,,False
3051,8.41959e+17,3/15/17 10:28,FIXED: An escalator @ Court Sq servicing Street To Mezzanine is in service,2017-03-15,,escalator,street to mezzanine,False
3052,8.41959e+17,3/15/17 10:28,OUTAGE: An escalator servicing Street To Mezzanine @ Court Sq is out of service.,2017-03-15,,escalator,street to mezzanine,True
3053,8.41959e+17,3/15/17 10:28,OUTAGE: An escalator servicing Mezzanine To Street @ 42nd St - Port Authority Bus Term is out of service.,2017-03-15,,escalator,,True
3054,8.41959e+17,3/15/17 10:28,OUTAGE: An escalator servicing Southbound Platform To Mezzanine @ Herald Sq - 34th St is out of service.,2017-03-15,,escalator,,True
3055,8.41952e+17,3/15/17 9:58,OUTAGE: An escalator servicing Lower Mezzanine To Southbound Platform @ Bowling Green is out of service.,2017-03-15,Bowling Green,escalator,,True
