,name,human_eq_type,location,serving,status,date,status2,date2,time_spent
1308,"Fulton St, Cortlandt St",An elevator,,Platform To Lower Mezzanine,OUTAGE,2017-03-25 02:38:40,,,
2313,"Fulton St, Cortlandt St",An elevator,,Transit Center,OUTAGE,2017-03-19 17:58:43,,,
2206,"Fulton St, Cortlandt St",An elevator,,Transit Center,OUTAGE,2017-03-20 10:58:42,,,
1108,"Fulton St, Cortlandt St",An elevator,,Upper Mezzanine To Street,OUTAGE,2017-03-26 18:48:44,,,
335,"Fulton St, Cortlandt St",An elevator,,Upper Mezzanine To Street,OUTAGE,2017-03-30 20:18:28,,,
267,"Fulton St, Cortlandt St",An elevator,,Upper Mezzanine To Street,OUTAGE,2017-03-31 03:48:46,,,
2945,"Fulton St, Cortlandt St",An escalator,,33 Maiden Lane To Passageway,OUTAGE,2017-03-15 19:38:30,,,
2759,"Fulton St, Cortlandt St",An escalator,,33 Maiden Lane To Passageway,OUTAGE,2017-03-16 19:48:27,,,
2146,"Fulton St, Cortlandt St",An escalator,,33 Maiden Lane To Passageway,OUTAGE,2017-03-20 20:09:07,,,
2758,"Fulton St, Cortlandt St",An escalator,,Corbin Building,OUTAGE,2017-03-16 19:48:27,,,
2942,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-15 19:58:20,,,
2236,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-20 07:18:34,,,
2155,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-20 19:38:44,,,
1956,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-21 18:38:46,,,
1682,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-23 05:08:58,,,
927,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-27 20:09:41,,,
765,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-28 18:29:04,,,
563,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-29 18:28:45,,,
347,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-30 19:08:30,,,
142,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-31 19:09:21,,,
2905,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 02:58:26,,,
2100,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-21 00:18:37,,,
1309,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-25 02:38:39,,,
1095,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 21:28:39,,,
829,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-28 07:29:22,,,
101,"Fulton St, Cortlandt St",An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-01 00:18:43,,,
2145,"Fulton St, Cortlandt St",An escalator,,Passageway Transfer,OUTAGE,2017-03-20 20:09:07,,,
2900,"Fulton St, Cortlandt St",An escalator,,Transit Center,OUTAGE,2017-03-16 03:08:27,,,
2550,"Fulton St, Cortlandt St",An escalator,,Transit Center,OUTAGE,2017-03-18 01:38:23,,,
1969,"Fulton St, Cortlandt St",An escalator,,Transit Center,OUTAGE,2017-03-21 17:09:20,,,
1726,"Fulton St, Cortlandt St",An escalator,,Transit Center,OUTAGE,2017-03-23 00:18:38,,,
1551,"Fulton St, Cortlandt St",An escalator,,Transit Center,OUTAGE,2017-03-23 19:58:35,,,
760,"Fulton St, Cortlandt St",An escalator,,Transit Center,OUTAGE,2017-03-28 18:58:33,,,
1880,Grand Central - 42nd St,An elevator,,Mezzanine To 7 Platform,OUTAGE,2017-03-22 03:58:24,FIXED,2017-03-22 04:18:36,0 days 00:20:12.000000000
1689,Grand Central - 42nd St,An elevator,,Mezzanine To 7 Platform,OUTAGE,2017-03-23 04:38:44,FIXED,2017-03-23 05:18:47,0 days 00:40:03.000000000
856,Grand Central - 42nd St,An elevator,,Mezzanine To 7 Platform,OUTAGE,2017-03-28 04:39:01,FIXED,2017-03-28 05:09:00,0 days 00:29:59.000000000
666,Grand Central - 42nd St,An elevator,,Mezzanine To 7 Platform,OUTAGE,2017-03-29 04:18:21,FIXED,2017-03-29 04:48:33,0 days 00:30:12.000000000
471,Grand Central - 42nd St,An elevator,,Mezzanine To 7 Platform,OUTAGE,2017-03-30 04:28:40,FIXED,2017-03-30 04:48:28,0 days 00:19:48.000000000
260,Grand Central - 42nd St,An elevator,,Mezzanine To 7 Platform,OUTAGE,2017-03-31 04:08:28,FIXED,2017-03-31 04:49:38,0 days 00:41:10.000000000
3010,Grand Central - 42nd St,An elevator,,"Mezzanine To Downtown 4,5,6 Platform",OUTAGE,2017-03-15 11:28:30,FIXED,2017-03-15 14:48:45,0 days 03:20:15.000000000
2863,Grand Central - 42nd St,An elevator,,"Mezzanine To Downtown 4,5,6 Platform",OUTAGE,2017-03-16 06:58:26,FIXED,2017-03-16 07:28:15,0 days 00:29:49.000000000
2260,Grand Central - 42nd St,An elevator,,"Mezzanine To Downtown 4,5,6 Platform",OUTAGE,2017-03-20 03:48:38,FIXED,2017-03-20 09:08:26,0 days 05:19:48.000000000
2067,Grand Central - 42nd St,An elevator,,"Mezzanine To Downtown 4,5,6 Platform",OUTAGE,2017-03-21 03:58:25,FIXED,2017-03-21 09:08:32,0 days 05:10:07.000000000
1704,Grand Central - 42nd St,An elevator,,Street To Terminal/Mezzanine,OUTAGE,2017-03-23 03:58:36,FIXED,2017-03-23 06:48:41,0 days 02:50:05.000000000
79,Grand Central - 42nd St,An elevator,,Street To Terminal/Mezzanine,OUTAGE,2017-04-01 04:18:44,,,
2871,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-16 05:58:22,FIXED,2017-03-16 09:18:15,0 days 03:19:53.000000000
2140,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-20 20:28:49,FIXED,2017-03-20 21:48:38,0 days 01:19:49.000000000
1989,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-21 15:09:43,FIXED,2017-03-21 15:28:57,0 days 00:19:14.000000000
1420,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-24 11:48:28,FIXED,2017-03-24 11:58:45,0 days 00:10:17.000000000
1403,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-24 14:58:54,,,
1289,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-25 04:48:39,FIXED,2017-03-25 09:18:44,0 days 04:30:05.000000000
1209,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-25 20:08:49,,,
1056,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 05:38:26,0 days 01:59:39.000000000
835,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-28 06:28:46,FIXED,2017-03-28 09:28:43,0 days 02:59:57.000000000
647,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-29 06:48:30,FIXED,2017-03-29 09:09:03,0 days 02:20:33.000000000
411,Grand Central - 42nd St,An escalator,,Center Island Platform To Lower Mezzanine (West End),OUTAGE,2017-03-30 09:48:48,FIXED,2017-03-30 09:58:42,0 days 00:09:54.000000000
3018,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-15 11:08:25,FIXED,2017-03-15 14:58:43,0 days 03:50:18.000000000
2688,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-17 04:58:36,FIXED,2017-03-17 05:18:18,0 days 00:19:42.000000000
2532,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-18 04:08:40,FIXED,2017-03-18 07:38:26,0 days 03:29:46.000000000
2392,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-19 03:38:28,FIXED,2017-03-19 09:09:01,0 days 05:30:33.000000000
1619,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-23 09:28:39,FIXED,2017-03-23 09:38:20,0 days 00:09:41.000000000
1598,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-23 11:38:46,FIXED,2017-03-23 11:58:23,0 days 00:19:37.000000000
1402,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-24 14:58:54,FIXED,2017-03-24 15:09:44,0 days 00:10:50.000000000
997,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-27 09:38:24,FIXED,2017-03-27 09:48:23,0 days 00:09:59.000000000
607,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-29 12:28:35,FIXED,2017-03-29 12:38:30,0 days 00:09:55.000000000
410,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-30 09:48:48,FIXED,2017-03-30 09:58:43,0 days 00:09:55.000000000
117,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Street (3rd Ave),OUTAGE,2017-03-31 21:58:33,FIXED,2017-03-31 23:18:32,0 days 01:19:59.000000000
2982,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-15 14:58:40,FIXED,2017-03-15 15:09:04,0 days 00:10:24.000000000
2569,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-17 23:08:26,FIXED,2017-03-18 00:58:30,0 days 01:50:04.000000000
2250,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-20 05:08:55,FIXED,2017-03-20 09:58:21,0 days 04:49:26.000000000
2041,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-21 05:58:19,FIXED,2017-03-21 06:58:48,0 days 01:00:29.000000000
1401,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-24 14:58:55,FIXED,2017-03-24 15:09:44,0 days 00:10:49.000000000
1174,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-26 03:38:28,FIXED,2017-03-26 04:58:22,0 days 01:19:54.000000000
982,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-27 12:28:22,FIXED,2017-03-27 13:38:49,0 days 01:10:27.000000000
876,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-28 03:38:44,FIXED,2017-03-28 05:18:49,0 days 01:40:05.000000000
715,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-28 23:18:34,FIXED,2017-03-29 01:38:30,0 days 02:19:56.000000000
536,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-29 21:58:33,FIXED,2017-03-29 22:48:22,0 days 00:49:49.000000000
397,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-30 12:38:47,FIXED,2017-03-30 14:38:51,0 days 02:00:04.000000000
309,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-30 21:58:46,FIXED,2017-03-30 23:08:50,0 days 01:10:04.000000000
120,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (Bowery),OUTAGE,2017-03-31 21:38:24,FIXED,2017-03-31 22:48:58,0 days 01:10:34.000000000
2870,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-16 05:58:22,FIXED,2017-03-16 09:18:16,0 days 03:19:54.000000000
2139,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-20 20:28:50,FIXED,2017-03-20 21:48:38,0 days 01:19:48.000000000
1985,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-21 15:18:53,FIXED,2017-03-21 15:28:58,0 days 00:10:05.000000000
1542,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-23 21:58:28,FIXED,2017-03-23 22:38:54,0 days 00:40:26.000000000
1422,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-24 11:38:31,FIXED,2017-03-24 11:48:28,0 days 00:09:57.000000000
1288,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-25 04:48:39,FIXED,2017-03-25 09:18:45,0 days 04:30:06.000000000
1208,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-25 20:08:50,,,
1055,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-27 03:38:48,FIXED,2017-03-27 04:28:22,0 days 00:49:34.000000000
917,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-27 21:19:02,FIXED,2017-03-28 01:29:02,0 days 04:10:00.000000000
739,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-28 21:09:19,FIXED,2017-03-28 23:48:23,0 days 02:39:04.000000000
548,Grand Central - 42nd St,An escalator,,Lower Mezzanine To Upper Mezzanine (West End),OUTAGE,2017-03-29 20:18:40,FIXED,2017-03-29 21:58:35,0 days 01:39:55.000000000
2981,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-15 14:58:41,FIXED,2017-03-15 15:09:03,0 days 00:10:22.000000000
2860,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-16 07:18:15,FIXED,2017-03-16 07:38:14,0 days 00:19:59.000000000
2685,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-17 05:18:15,FIXED,2017-03-17 05:48:24,0 days 00:30:09.000000000
2512,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-18 06:18:37,FIXED,2017-03-18 06:48:29,0 days 00:29:52.000000000
2426,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-18 21:08:31,FIXED,2017-03-18 21:38:41,0 days 00:30:10.000000000
2076,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-21 02:58:51,FIXED,2017-03-21 03:58:31,0 days 00:59:40.000000000
1984,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-21 15:18:54,,,
1861,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-22 06:09:43,FIXED,2017-03-22 09:28:35,0 days 03:18:52.000000000
1706,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-23 03:48:46,FIXED,2017-03-23 04:38:47,0 days 00:50:01.000000000
1400,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-24 14:58:55,FIXED,2017-03-24 15:09:44,0 days 00:10:49.000000000
490,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:08:57,0 days 05:10:17.000000000
116,Grand Central - 42nd St,An escalator,,Upper Mezzanine To Street (Gc Terminal),OUTAGE,2017-03-31 21:58:34,FIXED,2017-04-01 00:09:28,0 days 02:10:54.000000000
2938,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,,FIXED,2017-03-15 20:18:40,FIXED,2017-03-25 01:38:45,9 days 05:20:05.000000000
1211,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,,OUTAGE,2017-03-25 19:38:19,,,
1171,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,,OUTAGE,2017-03-26 04:09:16,FIXED,2017-03-27 13:18:38,1 days 09:09:22.000000000
969,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,,OUTAGE,2017-03-27 15:08:38,FIXED,2017-03-29 08:58:48,1 days 17:50:10.000000000
3016,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-15 11:18:21,,,
854,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-28 04:39:02,,,
187,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-31 13:18:26,,,
1353,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-24 20:28:32,FIXED,2017-03-26 01:38:33,1 days 05:10:01.000000000
682,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-29 03:28:47,,,
485,Gun Hill Rd,An elevator,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-30 03:58:42,,,
3105,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-15 01:48:21,FIXED,2017-03-15 04:48:16,0 days 02:59:55.000000000
2950,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-15 19:08:57,FIXED,2017-03-15 19:28:23,0 days 00:19:26.000000000
2608,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-17 18:28:40,FIXED,2017-03-17 19:48:39,0 days 01:19:59.000000000
2397,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-19 02:48:38,FIXED,2017-03-19 04:18:51,0 days 01:30:13.000000000
2154,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-20 19:38:44,FIXED,2017-03-20 22:28:47,0 days 02:50:03.000000000
1771,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-22 17:38:57,FIXED,2017-03-22 23:28:44,0 days 05:49:47.000000000
1382,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-24 16:58:49,FIXED,2017-03-24 21:58:44,0 days 04:59:55.000000000
1240,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-25 12:18:48,FIXED,2017-03-25 21:18:51,0 days 09:00:03.000000000
1049,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-27 04:08:39,FIXED,2017-03-27 06:49:16,0 days 02:40:37.000000000
892,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-28 00:58:58,FIXED,2017-03-28 04:09:05,0 days 03:10:07.000000000
562,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-29 18:28:45,FIXED,2017-03-29 20:18:43,0 days 01:49:58.000000000
399,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-30 12:28:31,FIXED,2017-03-30 15:28:49,0 days 03:00:18.000000000
300,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-30 23:08:48,,,
149,Gun Hill Rd,An escalator,,Street To Mezzanine,OUTAGE,2017-03-31 17:48:59,FIXED,2017-03-31 20:28:33,0 days 02:39:34.000000000
367,Herald Sq - 34th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-30 16:58:44,FIXED,2017-03-31 09:08:34,0 days 16:09:50.000000000
3097,Herald Sq - 34th St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-15 03:08:55,FIXED,2017-03-15 09:08:34,0 days 05:59:39.000000000
1890,Herald Sq - 34th St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-22 03:38:27,FIXED,2017-03-22 09:18:46,0 days 05:40:19.000000000
1701,Herald Sq - 34th St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-23 04:08:46,FIXED,2017-03-23 09:18:54,0 days 05:10:08.000000000
181,Herald Sq - 34th St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-31 13:48:45,FIXED,2017-03-31 15:28:50,0 days 01:40:05.000000000
965,Herald Sq - 34th St,An elevator,Herald Center building on west side of Broadway south of 34th Street,,OUTAGE,2017-03-27 15:58:24,FIXED,2017-03-27 16:18:28,0 days 00:20:04.000000000
450,Herald Sq - 34th St,An elevator,Herald Center building on west side of Broadway south of 34th Street,,OUTAGE,2017-03-30 08:08:43,FIXED,2017-03-30 09:08:59,0 days 01:00:16.000000000
1940,Herald Sq - 34th St,An elevator,Herald Center building on west side of Broadway south of 34th Street,Street To Mezzanine,OUTAGE,2017-03-21 20:48:28,FIXED,2017-03-22 08:28:36,0 days 11:40:08.000000000
3019,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-15 11:08:24,FIXED,2017-03-15 14:48:44,0 days 03:40:20.000000000
2682,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-17 05:28:15,FIXED,2017-03-17 09:48:14,0 days 04:19:59.000000000
2479,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-18 09:38:46,FIXED,2017-03-18 10:58:49,0 days 01:20:03.000000000
2416,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-18 23:28:41,FIXED,2017-03-19 00:48:35,0 days 01:19:54.000000000
2218,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-20 09:38:44,FIXED,2017-03-20 10:38:48,0 days 01:00:04.000000000
1944,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-21 20:08:51,FIXED,2017-03-22 00:18:34,0 days 04:09:43.000000000
1504,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-24 03:18:34,FIXED,2017-03-24 09:18:49,0 days 06:00:15.000000000
1212,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-25 19:38:19,FIXED,2017-03-25 21:18:51,0 days 01:40:32.000000000
522,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-29 23:58:46,FIXED,2017-03-30 00:58:22,0 days 00:59:36.000000000
323,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-30 20:58:34,FIXED,2017-03-30 21:28:48,0 days 00:30:14.000000000
197,Herald Sq - 34th St,An escalator,,Mall Landing To Street,OUTAGE,2017-03-31 12:08:38,FIXED,2017-03-31 13:08:58,0 days 01:00:20.000000000
3094,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-15 03:28:15,FIXED,2017-03-15 09:08:33,0 days 05:40:18.000000000
1825,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-22 10:38:28,FIXED,2017-03-22 11:28:34,0 days 00:50:06.000000000
1650,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-23 07:48:48,FIXED,2017-03-23 09:18:52,0 days 01:30:04.000000000
1580,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-23 15:38:36,FIXED,2017-03-23 15:48:39,0 days 00:10:03.000000000
1166,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-26 04:58:21,FIXED,2017-03-26 05:58:41,0 days 01:00:20.000000000
1068,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-27 01:38:43,,,
599,Herald Sq - 34th St,An escalator,,Mezzanine And Uptown,OUTAGE,2017-03-29 13:28:56,FIXED,2017-03-29 16:18:43,0 days 02:49:47.000000000
2431,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-18 19:18:48,FIXED,2017-03-18 22:08:53,0 days 02:50:05.000000000
2215,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-20 09:48:55,FIXED,2017-03-20 11:38:49,0 days 01:49:54.000000000
1909,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-22 01:28:45,FIXED,2017-03-22 06:48:35,0 days 05:19:50.000000000
1306,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-25 03:18:54,FIXED,2017-03-25 09:18:44,0 days 05:59:50.000000000
1098,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-26 21:18:37,FIXED,2017-03-26 21:48:52,0 days 00:30:15.000000000
877,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-28 03:38:44,FIXED,2017-03-28 09:09:17,0 days 05:30:33.000000000
677,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-29 03:38:37,FIXED,2017-03-29 09:18:49,0 days 05:40:12.000000000
499,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-30 03:28:26,FIXED,2017-03-30 09:38:26,0 days 06:10:00.000000000
246,Herald Sq - 34th St,An escalator,,Mezzanine To Mall Landing,OUTAGE,2017-03-31 04:58:46,FIXED,2017-03-31 08:48:36,0 days 03:49:50.000000000
3149,Herald Sq - 34th St,An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-14 20:28:37,FIXED,2017-03-14 21:18:22,0 days 00:49:45.000000000
3008,Herald Sq - 34th St,An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-15 11:38:26,FIXED,2017-03-15 12:28:14,0 days 00:49:48.000000000
2789,Herald Sq - 34th St,An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-16 17:08:38,FIXED,2017-03-16 17:28:31,0 days 00:19:53.000000000
2533,Herald Sq - 34th St,An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-18 03:58:31,FIXED,2017-03-18 07:08:29,0 days 03:09:58.000000000
2038,Herald Sq - 34th St,An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-21 06:48:44,FIXED,2017-03-21 08:58:38,0 days 02:09:54.000000000
1952,Herald Sq - 34th St,An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-21 18:58:42,FIXED,2017-03-21 21:28:37,0 days 02:29:55.000000000
