,name,human_eq_type,location,serving,status,date,status2,date2,time_spent
160,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-31 16:18:44,FIXED,2017-03-31 19:48:34,0 days 03:29:50.000000000
64,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-04-01 04:58:43,,,
2754,181st St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 20:48:34,FIXED,2017-03-16 21:18:32,0 days 00:29:58.000000000
2460,181st St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-18 13:18:25,FIXED,2017-03-18 16:38:33,0 days 03:20:08.000000000
1396,181st St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-24 15:09:43,FIXED,2017-03-24 22:08:35,0 days 06:58:52.000000000
1236,181st St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-25 14:18:43,FIXED,2017-03-25 21:38:39,0 days 07:19:56.000000000
404,181st St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 10:58:38,FIXED,2017-03-30 13:28:57,0 days 02:30:19.000000000
15,181st St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-01 10:18:43,FIXED,2017-04-01 12:08:52,0 days 01:50:09.000000000
2321,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-19 16:58:38,FIXED,2017-03-19 20:10:06,0 days 03:11:28.000000000
2196,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-20 12:58:49,FIXED,2017-03-20 13:18:36,0 days 00:19:47.000000000
1094,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 21:38:35,FIXED,2017-03-27 02:08:44,0 days 04:30:09.000000000
972,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 14:28:54,FIXED,2017-03-27 15:28:46,0 days 00:59:52.000000000
878,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-28 03:38:43,FIXED,2017-03-28 08:58:44,0 days 05:20:01.000000000
705,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 01:08:27,0 days 00:29:55.000000000
469,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 04:38:28,FIXED,2017-03-30 09:08:57,0 days 04:30:29.000000000
280,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 01:38:43,FIXED,2017-03-31 08:58:21,0 days 07:19:38.000000000
61,181st St,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-01 05:08:29,FIXED,2017-04-01 08:58:44,0 days 03:50:15.000000000
3159,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-14 18:58:24,FIXED,2017-03-15 04:48:16,0 days 09:49:52.000000000
2998,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-15 12:28:13,FIXED,2017-03-17 17:38:29,2 days 05:10:16.000000000
2466,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-18 11:18:38,FIXED,2017-03-18 23:08:37,0 days 11:49:59.000000000
2399,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-19 01:28:24,,,
2324,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-19 15:48:51,FIXED,2017-03-19 18:09:31,0 days 02:20:40.000000000
2090,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-21 01:38:23,FIXED,2017-03-21 02:38:21,0 days 00:59:58.000000000
1218,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-25 17:58:17,,,
1110,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-26 17:58:23,FIXED,2017-03-26 22:58:42,0 days 05:00:19.000000000
910,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-27 22:09:41,FIXED,2017-03-28 00:58:59,0 days 02:49:18.000000000
744,190th St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-28 20:48:32,FIXED,2017-03-30 00:48:32,1 days 04:00:00.000000000
