nyca_id,name,location,serving
283,3rd Ave - 149th St,SW corner of 149th Street and Third Avenue,Street To Uptown Platform
291,161st St - Yankee Stadium,NE corner of 161st Street and River Avenue,Street To Mezzanine
291,161st St - Yankee Stadium,,"Mezzanine To Uptown B, D"
291,161st St - Yankee Stadium,,Mezzanines To Downtown 4 Platform
291,161st St - Yankee Stadium,,Mezzanines To  Uptown 4 Platform
291,161st St - Yankee Stadium,,"Mezzanine To Downtown B, D"
291,161st St - Yankee Stadium,,Lower Mezzanine To Upper Mezzanine
291,161st St - Yankee Stadium,,Lower Mezzanine To Upper Mezzanine
294,Utica Ave,NW corner of Fulton Street and Malcolm X Boulevard,Street To Mezzanine
294,Utica Ave,,Mezzanine To Platform
294,Utica Ave,,Platform To Mezzanine
3,51st St,,Downtown Platform To Passageway
3,51st St,,Uptown Platform To Passageway
3,51st St,,Mezzanine To Platform
305,Queens Plz,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine
305,Queens Plz,,Mezzanine To Uptown
305,Queens Plz,,Mezzanine To Downtown
315,Bay Pky,NW corner of Bay Parkway and 86th Street,Street To Mezzanine
315,Bay Pky,,Mezzanine To Uptown
315,Bay Pky,,Mezzanine To Downtown
331,Kings Hwy,Kings Highway between 15th and 16th Streets (Inside station house),Street To Uptown Platform
331,Kings Hwy,Kings Highway between 15th and 16th Streets (Inside station house),Street To Downtown Platform
34,Union Sq - 14th St,,Street To Mezzanine All Trains
34,Union Sq - 14th St,,Street To Mezzanine All Trains
34,Union Sq - 14th St,NE corner of 14th Street and Park Avenue South (Union Square East),Street To Mezzanine
34,Union Sq - 14th St,,"Mezzanine To Uptown Platform N,Q,R"
34,Union Sq - 14th St,,Mezzanine To Downtown Platform(N&R)
347,21st St - Queensbridge,NW corner of 21st Street and 41st Avenue,Street To Mezzanine
347,21st St - Queensbridge,,Mezzanine To Uptown
347,21st St - Queensbridge,,Mezzanine To Downtown
347,21st St - Queensbridge,,Northbound Platform To Mezzanine
347,21st St - Queensbridge,,Mezzanine To Street
347,21st St - Queensbridge,,Mezzanine To Street
347,21st St - Queensbridge,,Southbound Platform To Mezzanine
347,21st St - Queensbridge,,Southbound Platform To Mezzanine
347,21st St - Queensbridge,,Northbound Platform To Mezzanine
348,50th St,,Street To Mezzanine
348,50th St,,Mezzanine To E Train Platform
35,Junction Blvd,NE corner of Junction Boulevard and Roosevelt Avenue,Street To Mezzanine & Overpass
35,Junction Blvd,,Overpass To Uptown Platform
35,Junction Blvd,,Overpass To Downtown Platform
350,47th-50th Sts - Rockefeller Ctr,NW corner of 6th Avenue and 49 Street,Street To Mezzanine
350,47th-50th Sts - Rockefeller Ctr,,Mezzanine To Downtown
350,47th-50th Sts - Rockefeller Ctr,,Mezzanine To Uptown
352,Lexington Ave - 63rd St,,Street To Mezzanine
352,Lexington Ave - 63rd St,,Mezzanine To Downtown And Downtown To Uptown Platform
352,Lexington Ave - 63rd St,,Southbound Platform To Level 3
352,Lexington Ave - 63rd St,,Mezzanine To Street
352,Lexington Ave - 63rd St,,Level 3 To Level 2
352,Lexington Ave - 63rd St,,Level 2 To Mezzanine
352,Lexington Ave - 63rd St,,Level 2 To Mezzanine
